RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
591,7,GROCERY,"BAKING & CAKE DECORATING","MIXES:BREAD, MUFFIN, SCONE, BISCUIT",SCONE,SEGMENT/BRAND,"I  ",8315
358,7,GROCERY,"PRESERVES & FRUIT SPREADS",TUBS,,BRAND/SEGMENT,"I  ",8315
367,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)",TORTILLA,,BRAND/SEGMENT,"I  ",8315
301,7,GROCERY,INDIAN,PAPPADUMS,,SEGMENT/BRAND,"I  ",8315
181,7,FROZEN,PIZZA,"SINGLE SERVE",,BRAND/SEGMENT,"I  ",8315
825,7,GROCERY,"SWEETENERS: DRY & LIQUID",SUGAR,CUBE,SEGMENT/BRAND,"I  ",8315
608,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","MULTI SERVE",RICE,SEGMENT/BRAND,"I  ",8315
509,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY","NON DAIRY","PINT STYLE",BRAND/SEGMENT,"I  ",8315
848,7,GROCERY,"VINEGARS & COOKING WINES",VINEGAR,CIDER,SEGMENT/BRAND,"I  ",8315
562,7,GROCERY,"BAKING & CAKE DECORATING","CAKE DECORATING",NUMBERS,SEGMENT/BRAND,"I  ",8315
570,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS",MEAL,SEGMENT/BRAND,"I  ",8315
749,7,GROCERY,INDIAN,"MEALS: SHELF STABLE",STARTER,SEGMENT/BRAND,"I  ",8315
444,7,DAIRY/PERISHABLE,DESSERTS,"READY TO BAKE",MOCHI,SEGMENT/BRAND,"I  ",8315
179,7,FROZEN,"MEAT ALTERNATIVES",ROAST,,BRAND/SEGMENT,"I  ",8315
833,7,GROCERY,"SWEETENERS: DRY & LIQUID","SUGAR SUBSTITUTE",OTHER,SEGMENT/BRAND,"I  ",8315
709,7,GROCERY,"CRACKERS & CRISPBREADS",CRISPBREADS,"NON RICE",BRAND/SEGMENT,"I  ",8315
625,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL",NON-ENHANCED,"MULTI SERVE: NON SPARKLING",SEGMENT/BRAND,"I  ",8315
528,7,GROCERY,ASIAN,"COOKING INGREDIENTS","SOUP BASE",SEGMENT/BRAND,"I  ",8315
