BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
7477,13,"TURTLE ISLAND",TURTLEISL,,,"I  ",8330
747,13,"BETTER BREAD",BETTERBRD,,,"I  ",8330
6070,13,REED'S,REED,,,"I  ",8330
5866,13,PRISM,PRISM,,,"I  ",8330
1912,13,"DENMARKS FINEST",DENMARKFIN,,,"I  ",8330
4419,13,MANCINI,MANCINI,,,"I  ",8330
379,13,"ARIZONA TEA",ARIZONATEA,,,"I  ",8330
3052,13,"GREEN BAY CHEESE",GREENBAY,,,"I  ",8330
3603,13,"J GREEN FOODS",JGREEN,,,"I  ",8330
76,13,"ACHATZ HANDMADE PIE CO",ACHATZ,,,"I  ",8330
1054,13,"BROKEN SPEAR",BROKNSPEAR,,,"I  ",8330
6928,13,"SUMMER INFANT",SUMMERINF,,,"I  ",8330
3010,13,GRAINAISSANCE,GRAINAISNC,,,"I  ",8330
6131,13,"RICKY JOY",RICKYJOY,,,"I  ",8330
2768,13,GATORADE,GATORADE,,,"I  ",8330
5784,13,PONTI,PONTI,,,"I  ",8330
2848,13,"GINSENG UP",GINSENGUP,,,"I  ",8330
385,13,ARMOUR,ARMOUR,,,"I  ",8330
3910,13,"KNOX GELATIN",KNOX,,,"I  ",8330
3582,13,"ISLAND BREEZE",ISLNDBREEZ,,,"I  ",8330
2951,13,GOLDWATER,GOLDWATER,,,"I  ",8330
2709,13,FURIKAKE,FURIKAKE,,,"I  ",8330
7500,13,"TWO MOMS IN THE RAW",2MOMSRAW,,,"I  ",8330
3563,13,"INTERNATIONAL COLLECTION",INTERNATNL,,,"I  ",8330
7685,13,VINACAFE,VINACAFE,,,"I  ",8330
1769,13,CUTIES,CUTIES,,,"I  ",8330
6316,13,SAMBAZON,SAMBAZON,,,"I  ",8330
6684,13,"SOL CUISINE",SOLCUISINE,,,"I  ",8330
4888,13,NAGAI,NAGAI,,,"I  ",8330
7172,13,TENLI,TENLI,,,"I  ",8330
993,13,"BOULDER SOUP WORKS",BLDRSOUP,,,"I  ",8330
2810,13,GEORGE'S,GEORGE,,,"I  ",8330
1586,13,"COLIN INGRAM",COLININGRM,,,"I  ",8330
6703,13,"SOLTERRA FOODS",SOLTERRA,,,"I  ",8330
2381,13,"EUROPEAN RENDEZ VOUS",EURORENDEZ,,,"I  ",8330
8091,13,ZICO,ZICO,,,"I  ",8330
6583,13,"SISTERS' PANTRY",SISTERS,,,"I  ",8330
4665,13,"MILLER'S CHEESE",MILLERCHS,,,"I  ",8330
934,13,"BOLD ORGANICS",BOLDORG,,,"I  ",8330
1666,13,"CORN HUSKERS",CORNHUSKER,,,"I  ",8330
3950,13,KRAVE,KRAVE,,,"I  ",8330
5237,13,"NUTRITIONAL SUPPLY CORP",NUTRSUPPLY,,,"I  ",8330
5235,13,NUTRITION53,NUTRITN53,,,"I  ",8330
1891,13,DELI-CATESSAN,DELICATESN,,,"I  ",8330
2911,13,"GO! SOUP",GOSOUP,,,"I  ",8330
1790,13,"DADDY RAY'S",DADDYRAY,,,"I  ",8330
118,13,"AGAVE IN THE RAW",AGAVERAW,,,"I  ",8330
5683,13,"PHYTO SHIELD",PHYTOSHLD,,,"I  ",8330
7073,13,TAAZA,TAAZA,,,"I  ",8330
4543,13,"MAYORGA COFFEE",MAYORGACOF,,,"I  ",8330
2789,13,GEM,GEM,,,"I  ",8330
7031,13,"SWEET FACTORY",SWEETFCTRY,,,"I  ",8330
770,13,BI-O-KLEEN,BIOKLEEN,,,"I  ",8330
5258,13,"O ORGANICS",OORGANICS,,,"I  ",8330
2421,13,FAMILIA,FAMILIA,,,"I  ",8330
2442,13,"FAT AND JUICY",FAT&JUICY,,,"I  ",8330
6600,13,SKOOPERBOX,SKOOPERBOX,,,"I  ",8330
3380,13,"HOLISTIC SELECT",HOLISTCSEL,,,"I  ",8330
5378,13,"OPEN NATURE",OPENNATURE,,,"I  ",8330
3807,13,"KATE'S HOMEMADE BUTTER",KATE,,,"I  ",8330
4013,13,"LA JOLLA FARMS",LAJOLLA,,,"I  ",8330
3115,13,"GUARDIAN ANGEL",GUARDIANGL,,,"I  ",8330
6560,13,"SIMPLY ORGANIC",SIMPLYORG,,,"I  ",8330
3502,13,"ILE DE FRANCE",ILEFRANCE,,,"I  ",8330
5622,13,PEPPADEW,PEPPADEW,,,"I  ",8330
