,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Western Region Product (TCS) Types, Categories, & Subgroups  (05/15/14)",,,,
,,,,,,
,up to 99,30 character limit,up to 99,30 character limit,5 character limit,no limit-not applicable to system~for guideline use only
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
,,,,,,
G,29,,06,vinegars,G2906,"balsamic, apple cider, bread dipping,liq aminos,spray"
,,,,,,
,,,,,,
G,30,PACKAGED GRAINS /BEANS /SEEDS,01,beans,G3001,"NOT canned, see SOUPS & RAMENS"
G,30,,02,grains / oats / seeds,G3002,"Unpop popcrn,flax & hemp seed & meal,sprout mix"
,30,,,,G3003,
G,30,,03,rice,G3003,
,,,,,,
,,,,,,
G,31,PACKAGED GROCERY & MIXES,01,baby ,G3101,"cereal, jarred, biscuits, formula"
G,31,,02,entrees & ethnic dishes,G3102,see also ETHNIC FOODS G24
G,31,see also HERBS & SPICES for mix,03,gravy,G3103,
G,31,   packets,04,pasta side dishes,G3104,mac & chz style in G3201
G,31,,05,potato / rice / couscous,G3105,"polenta, stuffing, risotto,rice pudding"
G,31,,06,vegetarian mixes,G3106,"beans,falafil"
G,31,,07,bread & bread mixes,G3107,bread culture starter
G,31,,08,drink mixes,G3108,
,,,,,,
G,32,PASTA,01,entrees,G3201,mac & chz style
G,32,,02,seasoned,G3202,"colored/flavored: artichoke, spinach, beet"
G,32,see also G2405 for Asian noodles,03,traditional long / flat,G3203,
G,32,,04,traditional short / shaped,G3204,
G,32,,05,wheat free,G3205,
,,,,,,
G,33,SALAD DRESSINGS,01,dressings,G3301,salad dressing mixes
G,33,,02,toppings,G3302,"bread crumbs, croutons, stix, bacon bits"
,,,,,,
G,34,SALSAS & DIPS nonrefrig,01,dips,G3401,dip mixes
G,34,,02,salsas,G3402,"green chili, picante"
,,,,,,
G,35,SEAFOOD nonfrozen,01,oysters / crabs / clams,G3501,mussels
G,35,,02,salmon & other fish,G3502,shrimp
G,35,,03,sardines,G3503,"anchovies, kipper"
G,35,,04,tuna,G3504,alternative tunas
,,,,,,
G,36,SNACKS ,01,jerky,G3601,
G,36,,02,meatless jerky,G3602,
G,36,,03,packaged nuts & seeds,G3603,"soy nuts, trail mix, sesame stix, see also CHIPS, BARS"
,,,,,,
G,37,CANNED,01,aseptic soups & broths,G3701,chili in ETHNIC/mexican G2402
G,37,,02,bouillon & broth mixes,G3702,"stock, base, cube, soup mix"
G,37,,03,canned broths,G3703,
G,37,,04,canned vegetables,G3704,"beans, pumpkin, NOT tomatoes or JARRED VEGGIES"
,37,,,,G3705,
G,37,,05,canned soups,G3705,
G,37,,06,jarred soups,G3706,
G,37,see also ETHNIC,07,ramens & instant noodles,G3707,
G,37,,08,potato & meal cups,G3708,"risotto, vegetable, couscous, chili cups"
G,37,,09,soup cups,G3709,
G,37,,10,meats,G3710,meats in cans/pouches
,,,,,,
G,38,TOMATO & PASTA SAUCE,01,canned tomatoes,G3801,
G,38,,02,other tomato & pallets,G3802,"marinated, tapenade"
G,38,,03,pasta sauces,G3803,
G,38,,04,pesto sauces,G3804,
G,38,,05,pizza sauces,G3805,
G,38,,06,tomato pastes,G3806,purees
G,38,,07,tomato sauce,G3807,plain only! NOT pasta sauce!
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
C,,,,,,
C,,,,,,
,,,,,,
G,39,DIET,01,OTHER DIET,G3901,
G,39,,02,DIET CANDY,G3902,
G,39,,03,DIET COOKIES,G3903,
G,39,,04,DIET PRESERVES/HONEY/SYRUPS,G3904,
,,,,,,
G,99,SEASONAL ONLY,01,CHRISTMAS,G9901,
G,99,,02,THANKSGIVING,G9902,
G,99,,03,EASTER,G9903,
G,99,,04,OTHER,G9904,"Valentines Day, Halloween"
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
H,39,BODYCARE,01,baby,H3901,"baby sun care, NO wipes or diapers"
H,39,,02,bath & shower,H3902,"salts, oils, clays"
H,39,,03,deoderants & mists,H3903,"mists,perfume,rose & lav water,sprays,atonomizers"
,39,,,,H3904,
H,39,,04,facial care,H3904,"eye care, pycnogenol, vit E gel & oil, jojoba oil"
H,39,,05,foot & leg care,H3905,see also H4102 TOOLS
H,39,,,,,
,39,,,,,
,39,,,,,
